Version,1.04
Timestamp,NW
Region,NW,VMS,ES,REV
CCTVURL,images.wsdot.wa.gov,nw
Legend,800,25
//
002vc00001,410,699
002vc00068,432,714
005vc13921,54,2576
005vc13951,60,2552
005vc14016,129,2539
005vc14065,143,2507
005vc14126,155,2482
005vc14188,94,2492
005vc14196,110,2457
005vc14205,144,2429
005vc14300,172,2407
005vc14379,117,2395
005vc14400,122,2368
005vc14460,178,2368
005vc14531,179,2358
005vc14605,181,2345
005vc14683,122,2324
005vc14772,123,2292
005vc14844,181,2269
005vc14918,126,2247
005vc15036,128,2211
005vc15128,126,2182
005vc15230,188,2140
005vc15315,164,2127
005vc15410,160,2099
005vc15453,227,2113
005vc15452,164,2053
005vc15591,160,2046
005vc15664,229,2007
005vc15718,212,1980
005vc15785,215,1960
005vc15805,146,1952
005vc15887,202,1944
005vc15920,145,1939
005vc15970,199,1935
005vc16000,197,1914
005vc16006,144,1922
005vc16049,194,1906
005vc16097,193,1897
005vc16123,172,1857
005vc16195,150,1849
005vc16204,92,1853
005vc16237,137,1823
005vc16287,114,1808
005vc16297,88,1792
005vc16342,138,1792
005vc16377,114,1791
005vc16396,89,1779
005vc16440,138,1767
005vc16508,149,1707
005vc16550,131,1705
005vc16574,131,1689
005vc16607,131,1676
005vc16645,119,1663
005vc16702,119,1652
005vc16763,74,1638
005vc16802,133,1622
005vc16913,135,1574
005vc16939,74,1555
005vc16965,74,1544
005vc17018,74,1533
005vc17078,139,1493
005vc17101,134,1482
005vc17153,70,1481
005vc17191,68,1458
005vc17263,119,1443
005vc17277,135,1430
005vc17315,128,1408
005vc17386,128,1394
005vc17461,139,1365
005vc17510,67,1340
005vc17552,120,1326
005vc17603,67,1322
005vc17722,83,1269
005vc17776,146,1254
005vc17828,150,1226
005vc17928,88,1180
005vc17966,114,1163
005vc18065,171,1184
005vc18155,197,1166
005vc18262,201,1106
005vc18389,229,1035
005vc18391,246,1063
005vc18414,241,1016
005vc18507,291,1022
005vc18577,251,982
005vc18648,291,944
005vc18726,326,979
005vc18748,307,927
005vc18797,360,935
005vc18848,311,910
005vc18918,366,911
005vc18935,325,870
005vc18997,331,854
005vc19039,346,838
005vc19041,398,836
005vc19115,396,809
005vc19120,345,805
005vc19169,331,786
005vc19234,395,778
005vc19267,331,753
005vc19357,331,727
005vc19389,404,714
005vc19406,415,685
005vc19469,382,651
005vc19534,430,657
005vc19601,389,635
005vc19684,437,598
005vc19754,437,574
005vc19843,427,537
005vc19910,365,496
005vc19988,365,465
005vc20077,365,454
005vc20159,365,429
005vc20246,365,396
005vc20332,360,344
005vc20379,415,322
005vc20424,415,303
005vc20503,410,246
005vc20609,358,233
005vc20691,404,194
005vc20776,401,158
005vc20868,380,105
005vc20934,321,100
005vc20983,314,85
005vc21032,310,70
018vc00078,174,2421
018vc00146,196,2415
018vc00198,217,2408
018vc00286,242,2407
018vc00369,311,2411
018vc00421,345,2442
090vc00236,152,1730
090vc00237,104,1725
090vc00245,83,1752
090vc00272,154,1755
090vc00292,178,1799
090vc00318,164,1776
090vc00441,200,1721
090vc00508,213,1776
090vc00579,233,1735
090vc00604,259,1723
090vc00687,295,1730
090vc00701,319,1740
090vc00713,279,1793
090vc00789,309,1798
090vc00803,324,1818
090vc00835,343,1740
090vc00848,351,1806
090vc00891,357,1752
090vc00921,379,1759
090vc01049,444,1758
090vc01103,462,1781
090vc01154,494,1761
090vc01243,530,1770
090vc01350,589,1799
090vc01446,603,1838
090vc01581,648,1859
090vc01702,685,1854
090vc01808,734,1905
090vc01864,763,1878
090vc01880,763,1914
090vc01941,786,1904
096vc00030,343,988
099vc02308,102,1992
099vc02375,136,1967
099vc02481,84,1933
099vc02545,115,1911
099vc02605,99,1892
099vc02671,44,1894
099vc02701,83,1884
099vc03015,51,1770
099vc03071,50,1750
099vc03072,49,1740
167vc01321,286,2482
167vc01384,217,2470
167vc01580,319,2380
167vc01699,309,2347
167vc01796,319,2318
167vc01899,323,2293
167vc01964,324,2278
167vc02069,249,2231
167vc02136,342,2246
167vc02189,341,2230
167vc02241,275,2198
167vc02352,286,2172
167vc02443,353,2147
167vc02538,286,2133
167vc02612,292,2106
202vc00770,541,1500
202vc00817,573,1551
202vc00862,590,1567
202vc00904,611,1574
202vc00990,640,1575
202vc01027,657,1579
405vc00052,228,2101
405vc00088,256,2120
405vc00140,274,2115
405vc00163,282,2040
405vc00229,306,2042
405vc00277,355,2099
405vc00304,383,2080
405vc00345,340,2042
405vc00364,350,2021
405vc00417,394,2051
405vc00475,427,2008
405vc00537,349,1990
405vc00602,360,1973
405vc00652,426,1949
405vc00747,426,1914
405vc00800,415,1900
405vc00840,415,1883
405vc00889,361,1873
405vc00926,369,1832
405vc01016,433,1828
405vc01066,437,1812
405vc01106,389,1782
405vc01121,442,1780
405vc01194,377,1741
405vc01199,444,1739
405vc01286,428,1736
405vc01355,428,1697
405vc01383,361,1679
405vc01427,361,1658
405vc01469,413,1654
405vc01483,361,1648
405vc01575,416,1576
405vc01675,366,1549
405vc01742,355,1534
405vc01801,421,1525
405vc01887,429,1477
405vc01987,432,1453
405vc02030,429,1425
405vc02095,360,1395
405vc02182,361,1369
