Version,1.07
Timestamp,OR
Region,OR,VMS,ES
CCTVURL,images.wsdot.wa.gov,ORFlow
Legend,1150,650
//
005vc08744,114,1147
005vc08832,65,1125
005vc09127,106,1060
005vc09325,107,1007
005vc09526,108,957
005vc09608,68,921
005vc10404,115,770
005vc10480,126,740
005vc10567,130,671
005vc10720,148,709
005vc10835,170,699
005vc10907,186,695
005vc10993,202,659
005vc11090,216,659
005vc11194,239,691
005vc11307,274,654
005vc11410,299,686
005vc11520,333,650
005vc11575,345,683
005vc11705,379,643
005vc11799,390,677
005vc11856,428,638
005vc11935,440,671
005vc12044,444,635
005vc12086,457,670
005vc12266,516,632
005vc12359,545,663
005vc12460,584,627
005vc12524,600,680
005vc12590,606,658
005vc12750,657,603
005vc12890,657,547
005vc12960,611,478
005vc13070,655,446
005vc13180,652,372
005vc13235,605,338
005vc13240,652,357
005vc13300,691,355
005vc13360,735,309
005vc13400,760,344
005vc13460,796,303
005vc13540,869,302
005vc13660,933,338
005vc13750,993,336
005vc13825,1047,338
005vc13871,1092,191
Olyvc00c02,173,660
016vc00045,657,316
016vc00110,633,277
016vc00190,552,297
016vc00250,531,245
016vc00360,476,244
016vc00370,456,280
016vc00470,404,278
016vc00479,385,275
016vc00850,290,260 
016vc00860,270,251
016vc00879,267,198
016vc00930,247,182
016vc00970,210,200
016vc01070,175,130
016vc01230,86,126
016vc01470,57,44
016vc01540,35,10
167vc00700,1165,396
167vc00960,1182,222
512vc00063,665,652
512vc00220,723,656
